"","word","freq"
"inveja","inveja",21
"iria","iria",21
"junto","junto",21
"legue","legue",21
"lenda","lenda",21
"marcado","marcado",21
"marcando","marcando",21
"meter","meter",21
"nchampions","nchampions",21
"organizao","organizao",21
"passa","passa",21
"perdemos","perdemos",21
"preciso","preciso",21
"pronto","pronto",21
"provavelmente","provavelmente",21
"querer","querer",21
"sofascorebr","sofascorebr",21
"temporadas","temporadas",21
"tirando","tirando",21
"total","total",21
"vive","vive",21
"vulgaott","vulgaott",21
"apesar","apesar",20
"atraso","atraso",20
"bosta","bosta",20
"brincadeira","brincadeira",20
"classificou","classificou",20
"cortouis","cortouis",20
"entra","entra",20
"france","france",20
"galo","galo",20
"inspirado","inspirado",20
"jamais","jamais",20
"louco","louco",20
"luiz","luiz",20
"marcar","marcar",20
"meia","meia",20
"motivo","motivo",20
"narrao","narrao",20
"nesta","nesta",20
"neste","neste",20
"novamente","novamente",20
"participaes","participaes",20
"praticamente","praticamente",20
"pros","pros",20
"ramos","ramos",20
"sozinho","sozinho",20
"terem","terem",20
"tira","tira",20
"tomaram","tomaram",20
"vir","vir",20
"virada","virada",20
"acreditar","acreditar",19
"adversrios","adversrios",19
"ajuda","ajuda",19
"atacante","atacante",19
"atrasado","atrasado",19
"aturem","aturem",19
"bahia","bahia",19
"banco","banco",19
"bastante","bastante",19
"bons","bons",19
"brfcfutebol","brfcfutebol",19
"carlos","carlos",19
"chorar","chorar",19
"curtavermelha","curtavermelha",19
"cuu","cuu",19
"diante","diante",19
"diferentes","diferentes",19
"equipas","equipas",19
"esportes","esportes",19
"favoritos","favoritos",19
"fazia","fazia",19
"ficha","ficha",19
"fraude","fraude",19
"heri","heri",19
"inacreditvel","inacreditvel",19
"justo","justo",19
"lgica","lgica",19
"linda","linda",19
"lixo","lixo",19
"marianaspinelii","marianaspinelii",19
"mostra","mostra",19
"nadal","nadal",19
"narrador","narrador",19
"papo","papo",19
"sabem","sabem",19
"segue","segue",19
"sousa","sousa",19
"stade","stade",19
"surtam","surtam",19
"tao","tao",19
"tomou","tomou",19
"torcendo","torcendo",19
"tozzafla","tozzafla",19
"vira","vira",19
"virar","virar",19
"youtube","youtube",19
"acaba","acaba",18
"acabei","acabei",18
"assunto","assunto",18
"camilla","camilla",18
"carlo","carlo",18
"carvajal","carvajal",18
"casablanca","casablanca",18
"compra","compra",18
"contrato","contrato",18
"desfile","desfile",18
"engraado","engraado",18
"euros","euros",18
"faria","faria",18
"fiz","fiz",18
"fundamental","fundamental",18
"ganhasse","ganhasse",18
"graa","graa",18
"gustavog","gustavog",18
"imagem","imagem",18
"importantes","importantes",18
"italiano","italiano",18
"landim","landim",18
"maravilhoso","maravilhoso",18
"nne","nne",18
"ouvir","ouvir",18
"poucos","poucos",18
"prova","prova",18
"quis","quis",18
"razo","razo",18
"rodada","rodada",18
"sabendo","sabendo",18
"sai","sai",18
"sport","sport",18
"tavam","tavam",18
"terminou","terminou",18
"thiago","thiago",18
"thomasalencr","thomasalencr",18
"valverde","valverde",18
"absurda","absurda",17
"acontece","acontece",17
"amanh","amanh",17
"amassado","amassado",17
"atletico","atletico",17
"bater","bater",17
"bolas","bolas",17
"brabo","brabo",17
"cabelo","cabelo",17
"calma","calma",17
"cdiado","cdiado",17
"celebrar","celebrar",17
"chamar","chamar",17
"chato","chato",17
"classificar","classificar",17
"colocou","colocou",17
"comparando","comparando",17
"considerado","considerado",17
"digo","digo",17
"dobro","dobro",17
"elryan","elryan",17
"emocionante","emocionante",17
"erro","erro",17
"estaria","estaria",17
"falo","falo",17
"favorito","favorito",17
"felicidade","felicidade",17
